job_id,OrderNo,OrderPos,WorkPlaceNo,LatestStartDate,Orderstate,reason
P250016-1,P250016,1,TBA,2025-05-21,5,workplace_missing_or_TBA
P250033-1,P250033,1,TBA,2025-10-10,5,workplace_missing_or_TBA
