WorkPlaceNo,injected_start,injected_end,injected_minutes,reason
727-061,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
727-063,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
727-09,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
727-10,2026-12-23 22:00:00,2026-12-30 22:00:00,10080,extend_to_horizon_after_last_end
727-11,2026-12-23 22:00:00,2026-12-30 22:00:00,10080,extend_to_horizon_after_last_end
728-01,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
800-01,2026-12-30 11:00:00,2026-12-30 22:00:00,660,extend_to_horizon_after_last_end
800-03,2026-12-30 11:00:00,2026-12-30 22:00:00,660,extend_to_horizon_after_last_end
800-04,2026-12-30 12:00:00,2026-12-30 22:00:00,600,extend_to_horizon_after_last_end
800-05,2026-12-30 11:00:00,2026-12-30 22:00:00,660,extend_to_horizon_after_last_end
800-06,2026-12-30 11:00:00,2026-12-30 22:00:00,660,extend_to_horizon_after_last_end
801-01,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
801-02,2026-12-29 14:00:00,2026-12-30 22:00:00,1920,extend_to_horizon_after_last_end
802,2026-12-23 22:00:00,2026-12-30 22:00:00,10080,extend_to_horizon_after_last_end
802-01,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
802-02,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
803-01,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
803-02,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
803-03,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
803-04,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
803-05,2026-12-18 14:00:00,2026-12-30 22:00:00,17760,extend_to_horizon_after_last_end
805,2025-12-30 14:00:00,2026-12-30 22:00:00,526080,extend_to_horizon_after_last_end
805-01,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
805-02,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
807-01,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
809-01,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
809-02,2026-12-23 09:00:00,2026-12-30 22:00:00,10860,extend_to_horizon_after_last_end
810-01,2026-12-30 14:00:00,2026-12-30 22:00:00,480,extend_to_horizon_after_last_end
810-02,2026-12-22 11:00:00,2026-12-30 22:00:00,12180,extend_to_horizon_after_last_end
811-01,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
811-02,2026-12-18 22:00:00,2026-12-30 22:00:00,17280,extend_to_horizon_after_last_end
812-01,2026-12-23 14:00:00,2026-12-30 22:00:00,10560,extend_to_horizon_after_last_end
